inventory_id,date,product_id,beginning_stock,received,sold,warehouse_location,ending_stock
1,2025-06-20 00:00:00-07:00,1505,49,12,7,east,54
2,2025-05-13 00:00:00-07:00,1611,55,2,6,south,51
3,2025-07-02 00:00:00-07:00,1310,82,5,3,north,84
4,2025-05-14 00:00:00-07:00,2355,14,11,14,west,11
5,2025-06-13 00:00:00-07:00,8382,39,17,11,east,45
6,2025-05-27 00:00:00-07:00,2194,82,3,10,south,75
7,2025-06-04 00:00:00-07:00,7562,56,10,12,east,54
8,2025-06-16 00:00:00-07:00,5646,89,17,2,east,104
9,2025-05-21 00:00:00-07:00,9131,86,15,12,east,89
10,2025-06-06 00:00:00-07:00,191,31,17,13,north,35
11,2025-06-11 00:00:00-07:00,3381,52,16,6,east,62
12,2025-06-29 00:00:00-07:00,8579,98,10,4,south,104
13,2025-06-09 00:00:00-07:00,9859,13,18,4,north,27
14,2025-06-20 00:00:00-07:00,3780,29,13,7,north,35
15,2025-06-14 00:00:00-07:00,489,87,9,0,west,96
16,2025-05-08 00:00:00-07:00,6319,70,8,3,east,75
17,2025-06-27 00:00:00-07:00,5032,60,9,12,south,57
18,2025-06-08 00:00:00-07:00,8127,51,10,2,north,59
19,2025-06-30 00:00:00-07:00,9870,36,11,3,north,44
20,2025-05-09 00:00:00-07:00,4827,43,0,14,east,29
21,2025-06-28 00:00:00-07:00,4187,57,3,4,north,56
22,2025-06-15 00:00:00-07:00,7359,61,18,0,east,79
23,2025-05-13 00:00:00-07:00,3870,72,4,9,west,67
24,2025-06-06 00:00:00-07:00,5395,31,6,10,south,27
25,2025-06-12 00:00:00-07:00,3344,43,12,0,east,55
26,2025-05-17 00:00:00-07:00,8208,26,4,12,south,18
27,2025-06-21 00:00:00-07:00,8918,54,3,6,west,51
28,2025-05-19 00:00:00-07:00,122,49,16,8,east,57
29,2025-07-03 00:00:00-07:00,5625,18,13,3,north,28
30,2025-06-08 00:00:00-07:00,7659,62,6,0,south,68
31,2025-05-14 00:00:00-07:00,6379,31,16,6,west,41
32,2025-06-04 00:00:00-07:00,7553,10,13,14,south,9
33,2025-06-13 00:00:00-07:00,1983,89,19,5,north,103
34,2025-06-19 00:00:00-07:00,6428,26,19,4,east,41
35,2025-05-28 00:00:00-07:00,9901,11,19,14,south,16
36,2025-05-12 00:00:00-07:00,4703,22,12,14,,20
37,2025-06-28 00:00:00-07:00,6804,19,3,14,west,8
38,2025-06-18 00:00:00-07:00,7394,29,1,4,west,26
39,2025-05-26 00:00:00-07:00,2796,81,12,0,west,93
40,2025-06-25 00:00:00-07:00,4954,6,13,11,north,8
41,2025-05-20 00:00:00-07:00,5971,27,13,10,south,30
42,2025-05-27 00:00:00-07:00,7247,1,4,11,east,0
43,2025-06-29 00:00:00-07:00,22,17,6,12,west,11
44,2025-06-21 00:00:00-07:00,2277,1,6,11,east,0
45,2025-05-08 00:00:00-07:00,393,62,6,10,east,58
46,2025-06-02 00:00:00-07:00,2471,24,4,8,south,20
47,2025-06-01 00:00:00-07:00,5250,59,4,6,north,57
48,2025-06-23 00:00:00-07:00,4406,55,7,3,west,59
49,2025-06-27 00:00:00-07:00,2101,97,7,14,north,90
50,2025-06-03 00:00:00-07:00,369,1,12,10,south,3
51,2025-06-03 00:00:00-07:00,2587,94,9,10,south,93
52,2025-06-28 00:00:00-07:00,7007,36,13,14,south,35
53,2025-06-20 00:00:00-07:00,2292,94,2,12,east,84
54,2025-05-25 00:00:00-07:00,4303,67,14,4,north,77
55,2025-06-18 00:00:00-07:00,3935,11,15,2,south,24
56,2025-06-25 00:00:00-07:00,6704,2,7,8,south,1
57,2025-06-11 00:00:00-07:00,1715,62,18,13,south,67
58,2025-05-23 00:00:00-07:00,3697,91,11,10,south,92
59,2025-05-09 00:00:00-07:00,5105,19,16,3,east,32
60,2025-06-02 00:00:00-07:00,83,61,15,2,south,74
61,2025-06-17 00:00:00-07:00,8785,57,15,9,south,63
62,2025-06-23 00:00:00-07:00,2471,53,3,14,south,42
63,2025-06-18 00:00:00-07:00,1873,58,16,8,south,66
64,2025-07-01 00:00:00-07:00,4426,24,16,8,east,32
65,2025-06-14 00:00:00-07:00,6304,32,3,12,east,23
66,2025-05-26 00:00:00-07:00,6690,370,2,8,south,68
67,2025-06-25 00:00:00-07:00,183,31,1,13,east,19
68,2025-06-07 00:00:00-07:00,4057,74,13,11,west,76
69,2025-06-17 00:00:00-07:00,3164,94,11,1,east,104
70,2025-06-26 00:00:00-07:00,543,71,0,14,east,57
71,2025-06-29 00:00:00-07:00,8353,83,0,13,north,70
72,2025-05-21 00:00:00-07:00,7411,66,11,13,north,64
73,2025-05-25 00:00:00-07:00,2260,57,13,14,east,56
74,2025-05-20 00:00:00-07:00,5316,60,8,3,south,65
75,2025-06-03 00:00:00-07:00,5208,9,1,7,west,3
76,2025-06-18 00:00:00-07:00,3578,88,4,9,north,83
77,2025-06-22 00:00:00-07:00,4954,31,12,12,east,31
78,2025-05-15 00:00:00-07:00,2171,39,2,7,east,34
79,2025-05-13 00:00:00-07:00,9309,46,13,1,west,58
80,2025-05-13 00:00:00-07:00,8745,16,0,3,west,13
81,2025-05-13 00:00:00-07:00,8341,87,9,5,east,91
82,2025-05-16 00:00:00-07:00,7028,62,11,8,north,65
83,2025-07-02 00:00:00-07:00,3981,54,8,4,west,58
84,2025-06-22 00:00:00-07:00,5514,92,1,7,east,86
85,2025-07-06 00:00:00-07:00,4510,81,3,6,west,78
86,2025-06-10 00:00:00-07:00,7695,47,18,2,south,63
87,2025-06-28 00:00:00-07:00,1139,63,18,8,north,73
88,2025-06-29 00:00:00-07:00,2237,45,9,12,east,42
89,2025-05-22 00:00:00-07:00,100,43,15,7,south,51
90,2025-06-14 00:00:00-07:00,8575,44,15,8,east,51
91,2025-06-10 00:00:00-07:00,4122,99,2,1,north,100
92,2025-05-15 00:00:00-07:00,2044,82,13,5,east,90
93,2025-05-11 00:00:00-07:00,6058,69,1,12,south,58
94,2025-06-25 00:00:00-07:00,7834,57,3,1,north,59
95,2025-06-18 00:00:00-07:00,3585,51,4,9,west,46
96,2025-06-01 00:00:00-07:00,6174,9,4,13,east,0
97,2025-06-24 00:00:00-07:00,1930,88,18,9,south,97
98,2025-06-07 00:00:00-07:00,2196,32,13,9,south,36
99,2025-05-23 00:00:00-07:00,969,3,0,2,north,1
100,2025-06-01 00:00:00-07:00,5173,86,8,0,east,94
101,2025-06-18 00:00:00-07:00,4664,73,6,6,east,73
102,2025-06-11 00:00:00-07:00,6467,87,4,13,south,78
103,2025-05-09 00:00:00-07:00,6662,43,6,9,north,40
104,2025-05-10 00:00:00-07:00,5,46,0,7,south,39
105,2025-07-02 00:00:00-07:00,879,40,7,3,east,44
106,2025-06-11 00:00:00-07:00,1035,89,15,9,east,95
107,2025-05-29 00:00:00-07:00,7652,81,11,14,west,78
108,2025-05-13 00:00:00-07:00,111,25,2,12,east,15
109,2025-06-01 00:00:00-07:00,6765,55,11,3,north,63
110,2025-05-20 00:00:00-07:00,4480,8,12,14,east,6
111,2025-06-23 00:00:00-07:00,8989,49,19,11,west,57
112,2025-06-06 00:00:00-07:00,7824,68,15,9,north,74
113,2025-05-22 00:00:00-07:00,8784,78,3,0,east,81
114,2025-07-05 00:00:00-07:00,737,34,19,10,south,43
115,2025-05-25 00:00:00-07:00,6652,9,9,13,north,5
116,2025-06-14 00:00:00-07:00,3495,0,7,4,,3
117,2025-06-09 00:00:00-07:00,1018,42,16,4,north,54
118,2025-05-16 00:00:00-07:00,7112,46,17,10,east,53
119,2025-06-26 00:00:00-07:00,5440,37,0,4,north,33
120,2025-05-09 00:00:00-07:00,2745,27,2,9,west,20
121,2025-06-24 00:00:00-07:00,7933,13,13,5,south,21
122,2025-05-24 00:00:00-07:00,8087,63,13,1,north,75
123,2025-07-05 00:00:00-07:00,3831,81,8,11,north,78
124,2025-06-23 00:00:00-07:00,6308,92,18,11,west,99
125,2025-07-03 00:00:00-07:00,4911,33,13,10,south,36
126,2025-06-24 00:00:00-07:00,8351,6,8,3,east,11
127,2025-05-19 00:00:00-07:00,9700,10,8,14,west,4
128,2025-05-21 00:00:00-07:00,2066,23,2,10,west,15
129,2025-05-15 00:00:00-07:00,4812,30,17,2,east,45
130,2025-06-04 00:00:00-07:00,2031,26,2,11,east,17
131,2025-06-06 00:00:00-07:00,2309,29,12,5,east,36
132,2025-07-02 00:00:00-07:00,3865,36,6,8,west,34
133,2025-07-06 00:00:00-07:00,7841,57,12,6,,63
134,2025-06-08 00:00:00-07:00,3342,83,11,14,east,80
135,2025-05-27 00:00:00-07:00,3130,19,2,2,south,19
136,2025-06-09 00:00:00-07:00,5524,14,6,14,north,6
137,2025-05-08 00:00:00-07:00,6283,15,6,9,east,12
138,2025-06-11 00:00:00-07:00,7738,31,8,10,west,29
