supplier_id,supplier_name,lead_time_days,contact_info,rating
1,stevens_llc,10,365-261-6825,4.69
2,simpson_pugh,8,001-322-445-9942,3.85
3,harrison_ltd,5,(745)078-2755,3.53
4,larson_orozco,4,347.918.3271x629,4.18
5,gray_lopez,6,+1-453-092-4991,3.85
6,reed_llc,7,620.531.2418x6334,4.85
7,smith_plc,7,487-902-4688,4.84
8,rivera_group,12,(270)908-8668x139,4.31
9,pearson_llc,5,001-625-529-3600x53998,3.76
10,smith_lewis,9,001-939-201-3906,4.27
11,rocha_kelly,12,(631)582-0565,4.91
12,harvey_llc,8,579-892-0476,4.75
13,pitts_and_sons,7,(990)496-1000,4.58
14,brown_stout_and_friedman,13,001-422-240-6260x2337,3.24
15,johnson_reed_and_dunn,8,8499556641,3.51
16,cobb_inc,10,1301718243,4.4
17,ward_hicks_and_tucker,2,317-263-4726x7457,3.5
18,smith_le,2,390-545-9539x289,4.16
19,jordan_and_sons,8,+1-138-591-9229x81506,3.12
20,ferguson_oliver,4,464-195-3318,3.54
21,boyd_and_sons,11,8565180715,3.46
22,brown_vang,12,001-461-562-4464x380,4.93
23,long_vargas_and_marshall,12,866.248.6716,3.31
24,adams_west_and_hanson,4,641.343.4809x64398,4.55
25,macias_harrison_and_stewart,11,(607)580-6732,4.72
26,riley_inc,10,181-194-2034x61240,3.28
27,nunez_carroll_and_davidson,4,(089)124-9473x9418,3.38
28,bell_meyer,6,0823499473,3.01
29,hatfield_hardin_and_hernandez,12,173.641.2751x62059,3.64
30,rivera_smith_and_murphy,8,2333264322,4.06
31,hendricks_buckley,14,634.222.2249x296,4.77
32,hall_bailey_and_simpson,7,(158)823-6173,3.82
33,thomas_hansen_and_gilbert,4,089-238-2562x01262,4.51
34,peterson_ford_and_perez,7,067-652-2120,4.56
35,sanders_gonzalez,3,(055)084-9400x830,4.23
36,newman_gibson_and_miles,9,001-630-693-1291,3.27
37,thompson_phillips,4,039-180-7850x3507,4.17
38,harrell_davis_and_gonzales,13,(283)369-5696x96711,3.92
39,carter_hicks_and_garcia,8,170.711.4235x7126,3.31
40,grant_ltd,14,(882)249-0684,4.29
41,huff_garrett,14,619.093.7479,4.17
42,byrd_roth,10,001-105-837-8386,3.49
43,meyers_ltd,4,001-571-332-9886x9787,4.82
44,lopez_smith_and_hunter,6,(817)778-5598x1287,4.03
45,mccoy_inc,8,8719257056,4.9
46,james_davenport,11,(140)880-3187x9390,3.27
47,walsh_wolfe_and_holland,10,(704)811-0098x35143,4.87
48,brooks_plc,7,001-894-952-4552x88265,3.19
49,reyes_ltd,2,(425)025-7367x1389,4.36
50,torres_giles,14,+1-220-343-8842,3.09
51,ho_davis_and_boyd,8,200.483.6387x373,4.08
52,rice_ellison_and_morgan,10,(987)967-4654x45686,3.09
53,johnson_ltd,13,701-842-1111,4.36
54,pittman_llc,3,(417)149-1207,4.49
55,smith_ramos,14,362-078-5804,3.5
56,allen_hartman,7,4970940747,4.66
57,garcia_walls_and_barnett,10,001-349-527-3874x68771,4.52
58,foster_wright,7,+1-296-101-1766x4790,4.6
59,nunez_ingram_and_hawkins,7,781.736.2667,3.01
60,waller_group,5,687-550-1183,3.88
61,turner_mcguire_and_lozano,7,(867)717-5832,4.18
62,yoder_wilson_and_hall,10,(296)184-3182x137,4.86
63,macdonald_johnson,13,(151)852-8226x63888,4.1
64,ballard_dixon,7,191-981-5853x16393,4.47
65,williams_bauer,9,3141673553,3.49
66,daniels_torres_and_carr,9,(090)312-9815,4.57
67,johnson_mendoza,5,001-115-580-6089,3.31
68,kennedy_wilson_and_scott,2,195.103.2395x01915,4.79
69,owen_group,14,+1-408-807-2104,3.94
70,davis_inc,14,(027)035-5583,3.36
71,lyons_gonzales,14,(764)537-5473,4.67
72,davis_gonzalez_and_gillespie,9,+1-288-704-4722x239,3.39
73,williams_hart,4,8743526145,3.78
74,green_morris,7,169-604-6809x21993,4.16
75,noble_cortez_and_schneider,12,(359)666-9267,4.46
76,bryant_griffin_and_cobb,4,305.360.8072,3.07
77,sullivan_guerrero_and_henderson,5,(575)516-3524x4910,4.32
78,hale_group,4,082.367.2013x0813,3.23
79,mccarthy_robles_and_odonnell,5,(022)970-4140x343,3.59
80,watts_bridges,12,001-167-422-9154x6183,3.08
81,miller_group,12,001-080-389-6718x174,4.22
82,garcia_garrison_and_farley,8,056.768.0549x61013,3.28
83,carter_grimes,6,001-951-051-3648x267,3.16
84,reed_inc,3,0147858287,4.94
85,larsen_marquez_and_cummings,11,008-901-4812x91607,4.25
86,smith_roach_and_collins,2,(504)331-6162x14095,3.96
87,escobar_hatfield,9,(221)252-5939,4.04
88,callahan_rogers,4,508-528-9940,4.17
89,wilson_hamilton,3,+1-867-883-2675x758,3.2
90,harrison_oconnell_and_patrick,12,(371)432-5305x06426,4.16
91,smith_castaneda,3,001-866-360-0276,4.26
92,johnson_ltd,12,877-189-1078,4.19
93,chavez_ltd,13,658.420.5115,3.23
94,wolf_ltd,12,867.549.2026,4.4
95,lawrence_miller,13,(068)908-7537x27223,4.39
96,arias_and_sons,12,034.352.4577x88610,3.33
97,black_group,5,7264645156,4.34
98,richardson_jackson_and_allen,2,001-008-816-3749x524,4.32
99,barnett_dean_and_lee,7,+1-963-380-9723x60571,4.56
100,ward_farley_and_johnson,2,618.362.5967x9106,3.15
101,ramos_merritt_and_king,12,+1-725-402-8874x07471,3.24
102,giles_inc,9,+1-752-444-7235x667,3.73
103,welch_morrison_and_benson,7,001-727-631-4904,4.55
104,martinez_ltd,7,001-086-005-1107x0664,4.06
105,collins_chaney_and_wright,6,(115)657-7399x57799,3.94
106,howard_montgomery_and_barron,13,331.719.3768x9046,4.05
107,miller_valencia,10,(821)897-2534,4.28
108,zimmerman_mcdonald,9,001-155-370-9077x8215,3.38
109,davis_mosley,4,001-029-559-6099x23850,4.28
110,perkins_and_sons,11,597-711-5801x800,4.02
111,mcgee_phillips,12,+1-736-288-9306,3.13
112,moore_and_sons,4,869-446-9547,3.6
113,wood_morales,10,+1-850-059-0196x11338,3.27
114,lopez_stewart,6,898.409.2489x32747,4.57
115,shaw_lopez_and_burton,7,747-878-2289x8411,3.68
116,robinson_and_sons,12,+1-091-085-8684x686,3.56
117,lindsey_romero,3,926-687-9063,4.17
118,bell_smith,13,960-319-8121x26694,4.29
119,sawyer_inc,7,(401)177-2444,4.31
120,weiss_llc,11,+1-506-278-3902x947,3.04
121,pierce_rogers_and_serrano,4,821-234-4964,3.15
122,graham_mcdowell_and_adams,13,+1-999-933-5573x405,4.07
123,gonzalez_martinez_and_west,7,745.526.5015x24096,4.21
124,douglas_knapp,12,790-980-2676x077,4.81
125,ruiz_ltd,14,189-868-8990,4.16
126,smith_barnes,12,001-159-721-5478x65739,3.77
127,clark_munoz_and_johnson,6,645-462-3137x96443,3.98
128,nelson_cummings,6,001-377-741-1077x368,3.08
129,thompson_lynn,5,465-124-5016x3915,3.81
130,johnston_boyle_and_garcia,14,+1-774-450-5108x161,4.64
131,green_garcia,12,+1-033-194-4326x2866,4.73
132,finley_inc,12,(323)970-1239,4.89
133,jacobs_king,13,(246)863-0573x5012,3.52
134,smith_williams,6,(136)544-5544x788,3.1
135,lowe_inc,4,(485)074-4815x632,4.91
136,west_mitchell,14,(641)727-7307x3206,3.43
137,rice_and_sons,4,338-474-6133,3.61
138,smith_vasquez,3,805.997.6975,4.18
139,davis_miranda,4,001-517-711-2928x4134,3.12
140,jenkins_tucker_and_chen,12,463.742.6579x6645,3.85
141,wolfe_kerr,14,726-128-3291x3319,4.26
142,edwards_shelton_and_golden,4,073-030-4679x254,3.29
143,martin_sandoval,4,1708278163,4.53
144,torres_patel,11,1525122391,3.2
145,frye_group,4,(215)093-3990x8964,3.4
146,arnold_bailey_and_jones,12,908.668.4794,4.23
147,moore_and_sons,9,244.414.9837x974,4.76
148,lambert_holloway_and_lane,13,001-435-112-6699x9103,3.79
149,garcia_clay,6,+1-862-629-5522x69834,4.46
150,wilson_and_sons,10,001-512-616-5275,4.9
151,clark_brown,9,604-663-1239x43543,3.34
152,wheeler_wiley_and_baker,4,015-739-7603,3.2
153,buckley_inc,14,+1-112-919-9226x1351,4.85
154,cameron_hunt_and_moore,4,+1-757-540-6363x72107,4.02
155,west_llc,5,(746)226-3492x9676,4.7
156,weaver_lee,5,+1-125-385-9884,3.45
157,martinez_llc,4,+1-827-169-1479x6269,4.74
158,hall_martinez,3,175-883-9930x85282,3.64
159,weaver_bryant,14,184.147.4889x3727,4.71
160,lee_group,4,017-018-3985,3.53
161,torres_group,12,3174476889,4.62
162,thompson_adkins_and_gibbs,4,975.882.4190x97840,4.15
163,johnson_group,13,344-922-7182x315,4.99
164,galvan_barker_and_oconnell,10,001-275-702-9984,4.0
165,mcdowell_blackwell_and_cantu,8,959-593-1915x7172,4.85
166,brown_ramirez_and_fox,5,(722)483-2955,4.82
167,mcmahon_allison,5,001-993-519-7571,3.5
168,morgan_garcia,2,001-010-366-0072x30144,3.87
169,fletcher_martinez_and_garcia,4,831-546-7736,4.77
170,munoz_llc,2,792-613-3540x415,4.43
171,english_llc,13,834.593.5791x9998,3.65
172,vega_middleton,4,+1-970-367-5305x565,3.83
173,mcmahon_beard_and_weaver,11,+1-442-878-2576,4.71
174,jackson_ward,4,360-096-4647x32232,3.74
175,nelson_llc,9,001-896-532-2646x0916,4.12
176,silva_smith,14,322-435-6976,3.62
177,woods_white,9,+1-509-537-2681x71018,3.26
178,walker_and_sons,10,410-205-5477x79353,4.24
179,craig_group,2,(876)768-5841,4.49
180,doyle_robinson,11,891-063-5083,3.13
181,boyd_plc,4,694-116-3074x765,3.2
182,brown_stevens_and_pearson,8,126-561-6986x3930,4.04
183,griffin_ltd,13,437.469.0393x37696,3.21
184,hurst_plc,7,+1-541-323-5518x332,4.74
185,duran_johnson,8,(514)691-1881x104,3.5
186,gilbert_hoffman,11,(471)650-8336x832,3.05
187,rogers_ltd,13,+1-186-743-7957x2645,3.33
188,avila_goodwin_and_james,12,(702)940-4441x2855,3.17
189,hampton_galvan,13,229-438-3598x52503,3.72
190,benton_estrada_and_taylor,7,9587146382,3.07
191,christian_garcia_and_garcia,9,3374525893,4.74
192,williams_williams_and_perkins,4,712.429.3073x138,3.56
193,hill_ltd,6,+1-491-436-9082x976,4.3
194,horton_group,4,159-311-8287,3.04
195,gray_roberts_and_brennan,9,196.599.7048x935,4.54
196,cruz_ltd,12,(936)180-9756,4.21
197,stephenson_clements,8,(222)006-9490,4.81
198,jones_wilson,9,001-339-731-9379x21385,4.05
199,rodriguez_rice_and_clark,12,+1-519-997-6756x26792,4.92
200,bailey_thompson_and_valdez,5,484-792-7822,4.33
201,nelson_collins_and_carroll,9,447-272-4106x1169,3.81
202,garner_inc,2,+1-370-355-0360x378,3.05
203,miller_alexander,2,117.278.6107x87854,4.82
204,schaefer_johnson,10,984.935.3251x677,4.5
205,jones_plc,4,097.332.8846,4.23
206,beard_oneal_and_bishop,9,477.073.0973,3.01
207,moore_malone,11,7821782005,3.2
208,smith_plc,8,(840)105-8019x100,4.27
209,lucas_powell,13,+1-310-663-4586x2916,3.46
210,smith_wilkins_and_li,8,+1-641-890-5076x765,4.98
211,figueroa_diaz_and_armstrong,3,183.394.3759x579,4.85
212,aguilar_ltd,3,+1-988-679-0443x9877,4.43
213,baker_ward,3,8537234582,3.03
214,huff_bell_and_hernandez,10,+1-056-059-2256,3.17
215,walsh_group,12,559.194.8030,4.13
216,valencia_plc,11,001-424-004-8241,3.56
217,moore_group,14,(563)118-3762,4.95
218,cunningham_group,6,243-066-0537x45260,3.99
219,petersen_faulkner_and_gilbert,11,001-251-173-2426x2679,3.61
220,chavez_jones_and_riley,8,887-788-3947x17622,3.94
221,ramos_group,9,+1-908-669-5292,3.48
222,bailey_and_sons,4,001-857-543-8209x55402,4.92
223,davis_poole_and_allison,5,989.803.1797x4523,4.39
224,cruz_ltd,6,+1-206-322-6917x267,3.53
225,ramirez_davis_and_leonard,9,576.697.7438,3.5
226,garner_wilson,2,935-143-6863x91563,3.0
227,hood_inc,3,(928)566-3943,3.92
228,young_valencia_and_holland,4,(055)260-6499x3357,4.03
229,hendricks_reed_and_gaines,7,(509)766-3289x3779,3.51
230,sparks_miller_and_garrison,4,345.598.5374x690,3.67
231,hall_morales_and_evans,12,384-894-9397x121,4.19
232,smith_green,2,370-740-1430,3.11
233,kent_herring_and_fisher,8,001-083-064-5752x266,4.0
234,richmond_inc,13,105-555-0213,3.5
235,west_jacobs,2,058.358.5338,4.71
236,king_ltd,10,815-126-9400x411,3.1
237,foster_plc,11,900-420-2427x9187,3.84
238,leon_lee,13,4436352167,3.21
239,graves_rice,10,+1-379-493-8956,4.28
240,wilson_wheeler_and_jones,13,001-424-448-2436,4.89
241,pitts_jimenez_and_strickland,14,466-443-5845x698,3.15
242,harper_davis,7,461.732.4759x08132,3.51
243,lambert_group,13,+1-769-721-2231x3388,4.89
244,brooks_and_sons,12,930.426.9228x78667,4.06
245,winters_ortega_and_koch,14,001-543-768-1615x88014,4.37
246,anderson_ltd,7,+1-706-674-5183x278,4.95
247,larsen_jackson,3,972-587-8855x892,3.6
248,carroll_barnes,5,185.334.0625x19237,3.56
249,mcknight_acosta,12,829.797.3168,4.92
250,gray_inc,13,+1-141-969-1527x94276,3.24
251,jones_james_and_santiago,4,681.799.7165,3.27
252,ramirez_llc,9,(576)692-6294x8580,3.11
253,archer_llc,6,+1-975-832-8611x4780,4.41
254,morrison_richardson,12,(943)228-8284x7707,3.88
255,daniels_horn_and_ramirez,12,001-831-403-1577x142,3.38
256,johnson_moore,8,423.264.3724x937,3.25
257,king_harrison_and_fletcher,7,164-946-6643x31097,4.95
258,wallace_larson_and_maldonado,10,832.451.6842,4.57
259,green_jones,4,+1-250-428-3626,3.12
260,king_griffith,5,604-799-7926x61350,3.39
261,maddox_hill,7,097-551-0412x16596,3.66
262,patterson_group,7,(331)422-5399x770,4.26
263,yates_short,11,369.984.3631,4.16
264,nunez_zuniga,13,126.877.9397,3.14
265,rose_richardson_and_wilson,9,637-211-5077x6690,3.18
266,malone_group,11,554-407-9818,4.01
267,willis_shaw_and_arellano,10,231-245-9098,3.53
268,herman_group,9,001-437-868-8954x513,3.91
269,frazier_williams_and_carter,6,(743)924-9433x6185,4.46
270,mcdonald_lopez,7,001-076-179-5575,4.3
271,chapman_burton,3,001-034-520-1227x70980,4.6
272,perez_dean,5,181-840-1386,4.26
273,harmon_richards_and_wilson,10,510.340.2755x583,3.85
274,santana_adams,2,(001)946-1195,3.17
275,stevens_and_sons,6,+1-881-060-6870,4.99
276,king_kemp,6,492.570.6582,4.37
277,kelly_crawford_and_nguyen,8,894.795.9956,3.57
278,padilla_llc,14,001-632-585-8617,3.27
279,williams_and_sons,3,+1-960-496-8980x14214,4.9
280,taylor_ltd,7,437-318-3794x62928,3.32
281,jimenez_mueller,10,574-091-7792x603,3.46
282,perez_vargas_and_johnson,12,(293)586-0895x21077,3.09
283,pace_gibson,2,769-115-8151x001,3.68
284,nunez_ramos,5,+1-804-789-3868x530,3.14
285,lynch_ltd,8,+1-315-585-4417,3.91
286,young_llc,6,001-177-686-5142x896,3.89
287,david_miller_and_gray,8,001-787-017-3305x99667,4.84
288,guzman_hughes,2,587-692-9444,3.3
289,jones_inc,2,001-245-245-1638x3146,3.03
290,mitchell_ltd,3,001-361-527-7777x0163,3.72
291,owens_llc,13,294.357.2166,4.87
292,howard_brown,12,6162970963,4.58
293,foster_plc,12,001-510-473-8465x97200,4.95
294,ward_patel,5,925.093.9745x14417,4.17
295,clark_miller,6,051-467-5501,4.83
