transaction_id,date,product_id,units_sold,customer_id,employee_id,sales_amount,list_price
1,2024-05-11 00:00:00-07:00,68,3,3240,748,75.0,25.0
2,2024-11-15 00:00:00-08:00,5042,6,2246,624,14.7,2.45
3,2024-03-19 00:00:00-07:00,7165,6,4387,139,16.08,2.68
4,2024-05-26 00:00:00-07:00,8859,7,2163,778,64.05,9.15
5,2024-01-24 00:00:00-08:00,4700,5,4297,1429,17.8,3.56
6,2024-09-22 00:00:00-07:00,8428,6,2753,1940,5.64,0.94
7,2025-02-27 00:00:00-08:00,360,2,776,310,5.64,2.82
8,2025-07-04 00:00:00-07:00,9036,9,2794,868,54.45,6.05
9,2024-06-21 00:00:00-07:00,5833,7,3753,1875,230.02,32.86
10,2025-06-29 00:00:00-07:00,2426,5,2334,1184,78.45,15.69
11,2024-09-30 00:00:00-07:00,4752,4,2305,939,68.32,17.08
12,2024-06-30 00:00:00-07:00,3756,3,4787,1014,4.17,1.39
13,2023-11-13 00:00:00-08:00,4366,7,433,1775,84.98,12.14
14,2025-05-07 00:00:00-07:00,7228,9,2147,136,64.17,7.13
15,2023-08-02 00:00:00-07:00,4795,8,190,1454,134.64,16.83
16,2023-11-17 00:00:00-08:00,4065,9,3910,1577,69.75,7.75
17,2024-10-13 00:00:00-07:00,2841,7,2471,39,233.73,33.39
18,2023-09-15 00:00:00-07:00,5737,8,2223,1769,174.16,21.77
19,2024-04-17 00:00:00-07:00,982,7,424,724,195.3,27.9
20,2024-08-13 00:00:00-07:00,5601,3,1541,1657,68.67,22.89
21,2023-10-20 00:00:00-07:00,5623,6,1869,1934,72.96,12.16
22,2024-04-02 00:00:00-07:00,682,4,1946,582,95.68,23.92
23,2025-02-05 00:00:00-08:00,813,7,4724,1745,110.11,15.73
24,2024-04-11 00:00:00-07:00,9461,9,1787,873,207.81,23.09
25,2023-08-22 00:00:00-07:00,2202,2,2264,1521,2.62,1.31
26,2025-05-12 00:00:00-07:00,9212,1,334,1081,18.56,18.56
27,2024-05-20 00:00:00-07:00,3861,2,4565,1602,38.34,19.17
28,2024-10-03 00:00:00-07:00,321,5,2088,656,18.6,3.72
29,2024-11-17 00:00:00-08:00,784,6,78,714,77.52,12.92
30,2024-09-29 00:00:00-07:00,8222,7,3137,793,46.41,6.63
31,2023-07-30 00:00:00-07:00,1932,4,3039,1745,19.28,4.82
32,2024-12-13 00:00:00-08:00,4569,1,1934,966,3.28,3.28
33,2023-08-03 00:00:00-07:00,7262,7,3946,1591,137.55,19.65
34,2024-11-09 00:00:00-08:00,6073,9,1270,1083,222.84,24.76
35,2024-05-25 00:00:00-07:00,4445,9,3252,447,224.73,24.97
36,2023-12-16 00:00:00-08:00,1842,8,883,19,4.05,0.5058786991452727
37,2024-07-11 00:00:00-07:00,7395,9,62,92,201.96,22.44
38,2024-09-30 00:00:00-07:00,4539,5,1090,1742,111.15,22.23
39,2024-07-29 00:00:00-07:00,3353,6,297,1616,146.76,24.46
40,2024-07-22 00:00:00-07:00,6766,1,3361,472,6.64,6.64
41,2024-10-14 00:00:00-07:00,7302,3,2179,741,94.02,31.34
42,2023-12-07 00:00:00-08:00,3809,4,2501,1531,20.28,5.07
43,2025-04-03 00:00:00-07:00,1005,7,502,376,121.1,17.3
44,2025-06-05 00:00:00-07:00,7347,8,3771,214,193.44,24.18
45,2024-11-15 00:00:00-08:00,2713,5,227,203,507.0,101.4
46,2025-05-12 00:00:00-07:00,1462,6,1899,152,22.32,3.72
47,2024-10-06 00:00:00-07:00,1099,7,3544,673,44.31,6.33
48,2024-12-26 00:00:00-08:00,1472,4,3164,794,77.72,19.43
49,2025-02-13 00:00:00-08:00,2910,6,1901,849,144.54,24.09
50,2024-11-09 00:00:00-08:00,5917,3,2722,636,21.06,7.02
51,2025-04-18 00:00:00-07:00,3544,2,4691,61,33.38,16.69
52,2025-04-02 00:00:00-07:00,4338,4,1363,1218,22.88,5.72
53,2024-10-21 00:00:00-07:00,813,4,1341,53,62.92,15.73
54,2024-11-23 00:00:00-08:00,2443,7,1856,855,54.95,7.85
55,2024-05-18 00:00:00-07:00,1021,9,1697,1330,306.9,34.1
56,2023-08-22 00:00:00-07:00,6648,2,4285,1893,1.76,0.88
57,2023-11-22 00:00:00-08:00,9636,6,89,1242,72.9,12.15
58,2024-08-03 00:00:00-07:00,3165,1,3354,1625,32.96,32.96
59,2024-05-14 00:00:00-07:00,4715,8,4224,522,178.64,22.33
60,2024-05-22 00:00:00-07:00,5214,2,2713,1987,9.68,4.84
61,2024-12-02 00:00:00-08:00,2421,5,1650,1268,17.05,3.41
62,2024-06-23 00:00:00-07:00,1944,9,296,1776,173.88,19.32
63,2024-02-29 00:00:00-08:00,7827,7,1322,1620,121.1,17.3
64,2024-07-09 00:00:00-07:00,4409,2,1103,931,20.5,10.25
65,2024-07-13 00:00:00-07:00,8709,8,4255,365,175.12,21.89
66,2025-04-20 00:00:00-07:00,7128,2,4411,406,12.26,6.13
67,2023-08-01 00:00:00-07:00,1874,4,1002,606,56.24,14.06
68,2023-09-25 00:00:00-07:00,3641,1,758,781,7.95,7.95
69,2024-10-09 00:00:00-07:00,6913,1,730,486,22.09,22.09
70,2025-04-22 00:00:00-07:00,2692,2,1835,1437,44.76,22.38
71,2023-08-19 00:00:00-07:00,2119,8,3928,929,81.12,10.14
72,2023-11-10 00:00:00-08:00,8907,2,4816,751,26.56,13.28
73,2024-09-11 00:00:00-07:00,1869,7,381,455,78.75,11.25
74,2024-01-06 00:00:00-08:00,2539,6,1020,1745,121.98,20.33
75,2023-10-29 00:00:00-07:00,6665,5,3731,509,8.8,1.76
76,2025-05-20 00:00:00-07:00,2673,1,664,548,19.06,19.06
77,2024-08-12 00:00:00-07:00,7051,4,1427,1615,16.84,4.21
78,2024-07-20 00:00:00-07:00,7076,7,4167,849,113.33,16.19
79,2024-04-17 00:00:00-07:00,9635,9,4400,1000,23.76,2.64
80,2024-11-01 00:00:00-07:00,7269,3,1483,911,49.5,16.5
81,2024-02-09 00:00:00-08:00,9582,3,1880,1300,9.06,3.02
82,2023-12-23 00:00:00-08:00,207,2,27,685,38.76,19.38
83,2024-10-28 00:00:00-07:00,248,3,2249,1615,27.42,9.14
84,2023-07-09 00:00:00-07:00,6793,9,4459,1728,205.83,22.87
85,2023-12-31 00:00:00-08:00,4951,3,206,556,34.35,11.45
86,2024-06-29 00:00:00-07:00,522,4,2498,1169,102.16,25.54
87,2023-11-15 00:00:00-08:00,7163,7,2120,957,63.91,9.13
88,2024-07-26 00:00:00-07:00,8883,7,4510,539,7.21,1.03
89,2024-04-02 00:00:00-07:00,3778,5,4874,1261,110.5,22.1
90,2025-05-23 00:00:00-07:00,3262,1,1234,1728,23.31,23.31
91,2025-06-03 00:00:00-07:00,8614,8,2301,1679,130.96,16.37
92,2024-12-08 00:00:00-08:00,8577,8,3947,819,88.96,11.12
93,2024-04-21 00:00:00-07:00,7406,3,1998,609,12.72,4.24
94,2025-06-07 00:00:00-07:00,2058,8,4590,1547,118.64,14.83
95,2024-11-28 00:00:00-08:00,3500,1,660,1959,8.47,8.47
96,2025-02-10 00:00:00-08:00,2698,8,969,220,194.0,24.25
97,2024-11-21 00:00:00-08:00,1824,3,362,383,96.18,32.06
98,2024-11-26 00:00:00-08:00,7630,8,1988,1701,78.24,9.78
99,2024-07-30 00:00:00-07:00,4437,1,37,595,18.38,18.38
100,2023-11-04 00:00:00-07:00,5764,7,3666,1741,13.79,1.97
101,2023-10-10 00:00:00-07:00,9883,1,1187,1755,3.86,3.86
102,2025-02-09 00:00:00-08:00,9071,4,2560,1808,46.32,11.58
103,2023-11-08 00:00:00-08:00,3956,1,4572,1774,16.4,16.4
104,2023-12-06 00:00:00-08:00,2539,3,1241,1249,60.99,20.33
105,2023-11-02 00:00:00-07:00,8404,5,991,1358,106.65,21.33
106,2024-04-28 00:00:00-07:00,2060,6,1932,725,61.02,10.17
107,2024-03-11 00:00:00-07:00,6969,2,1105,1456,24.2,12.1
108,2023-08-31 00:00:00-07:00,7546,1,3293,1212,11.58,11.58
109,2024-12-07 00:00:00-08:00,5035,4,3139,539,66.8,16.7
110,2025-02-19 00:00:00-08:00,1785,20,563,496,101.0,5.05
111,2023-10-14 00:00:00-07:00,6037,1,3645,92,13.48,13.48
112,2025-01-16 00:00:00-08:00,2241,3,1642,9,34.08,11.36
113,2025-04-21 00:00:00-07:00,3689,4,3664,1568,93.68,23.42
114,2025-02-26 00:00:00-08:00,2585,4,3123,1276,52.6,13.15
115,2024-02-20 00:00:00-08:00,7081,6,1304,367,130.14,21.69
116,2024-06-18 00:00:00-07:00,2299,7,2877,385,180.18,25.74
117,2025-03-17 00:00:00-07:00,1794,3,3501,1748,21.48,7.16
118,2023-12-08 00:00:00-08:00,4498,3,3790,120,24.99,8.33
119,2024-12-29 00:00:00-08:00,3998,4,29,50,28.36,7.09
120,2024-05-31 00:00:00-07:00,6554,3,3951,553,26.64,8.88
121,2024-11-03 00:00:00-07:00,3134,4,4263,1670,832.4,208.1
122,2023-08-10 00:00:00-07:00,9053,6,4180,1432,91.86,15.31
123,2024-12-17 00:00:00-08:00,8500,7,2809,245,112.63,16.09
124,2024-07-05 00:00:00-07:00,6103,8,3464,489,248.56,31.07
125,2025-03-01 00:00:00-08:00,1485,5,3067,224,98.3,19.66
126,2024-03-18 00:00:00-07:00,337,1,2205,618,19.18,19.18
127,2025-05-31 00:00:00-07:00,4320,1,2504,494,19.23,19.23
128,2023-11-07 00:00:00-08:00,6499,8,164,338,220.56,27.57
129,2025-04-17 00:00:00-07:00,3940,8,388,1783,22.0,2.75
130,2024-03-12 00:00:00-07:00,6790,8,1765,285,32.16,4.02
131,2024-05-13 00:00:00-07:00,6873,3,4028,1555,23.49,7.83
132,2025-04-15 00:00:00-07:00,1804,7,765,1123,20.51,2.93
133,2025-03-12 00:00:00-07:00,3680,7,2532,1239,147.42,21.06
134,2024-07-06 00:00:00-07:00,6430,1,1690,449,12.87,12.87
135,2025-05-13 00:00:00-07:00,8563,7,3958,454,133.07,19.01
136,2024-11-09 00:00:00-08:00,8742,3,1265,229,41.37,13.79
137,2024-01-12 00:00:00-08:00,4286,1,1637,1653,13.78,13.78
138,2023-07-22 00:00:00-07:00,2893,5,438,1952,127.75,25.55
